 vmax offset (arcsec) optical radius (arcsec) distance (Mpc) phi1 phi2 phi3
 125.00    0.00   47.30   32.02     0.00000e+00     0.00000e+00     0.00000e+00
 270.00    1.00   52.80   94.82     0.00000e+00     0.00000e+00     0.00000e+00
 113.00    2.00   36.50   47.62     2.70404e-07     2.70404e-07     2.70404e-07
  90.00    1.00   31.80   56.04     0.00000e+00     0.00000e+00     7.72676e-09
 234.00    0.00   46.40   80.27     0.00000e+00     1.52387e-07     1.52387e-07
 161.00    0.00   34.20   52.33     3.97835e-07     3.97835e-07     3.97835e-07
  80.00    1.00   48.60   32.35     1.27858e-08     1.27858e-08     1.27858e-08
 170.00    0.00   44.50   45.82     0.00000e+00     1.52081e-07     1.52081e-07
 242.00    2.30   61.60   46.46     0.00000e+00     1.20189e-07     1.20189e-07
 188.00    0.00   44.70   69.82     2.71152e-08     2.71152e-08     2.71152e-08
 121.00    0.00   29.10   62.73     1.04028e-07     1.04028e-07     1.04028e-07
 176.00    0.00   31.30   63.13     9.44453e-08     9.44453e-08     9.44453e-08
 155.00    1.00   29.70   73.75     0.00000e+00     8.79472e-07     1.12637e-06
 155.00    1.50   32.30   79.47     0.00000e+00     0.00000e+00     2.12690e-07
 114.00    0.00   32.10   60.25     0.00000e+00     7.05185e-07     7.05185e-07
 133.00    0.00   32.40   54.88     1.66121e-06     1.66121e-06     1.66121e-06
 192.00    0.00   37.40   74.72     2.42521e-08     2.42521e-08     2.42521e-08
  81.00    0.00   30.80   52.93     0.00000e+00     0.00000e+00     0.00000e+00
 141.00    1.00   36.50   63.23     0.00000e+00     0.00000e+00     9.91108e-10
 105.00    0.50   42.00   59.98     0.00000e+00     0.00000e+00     0.00000e+00
 121.00    1.00   34.40   59.82     0.00000e+00     0.00000e+00     0.00000e+00
 116.00    2.00   42.20   40.68     0.00000e+00     0.00000e+00     0.00000e+00
 172.00    1.00   29.00   77.80     0.00000e+00     1.11483e-07     1.11483e-07
 157.00    1.50   42.20   74.98     2.37360e-07     2.37360e-07     2.37360e-07
 137.00    1.00   34.10   57.62     0.00000e+00     0.00000e+00     0.00000e+00
 105.00    0.00  137.30   18.14     0.00000e+00     9.15422e-11     9.15422e-11
 134.00    0.00   29.50   52.07     0.00000e+00     0.00000e+00     0.00000e+00
 118.00    2.00   51.40   23.83     0.00000e+00     0.00000e+00     0.00000e+00
 125.00    2.00   31.70   56.52     0.00000e+00     6.00079e-10     6.00079e-10
  65.00    0.00   39.90   14.12     0.00000e+00     0.00000e+00     0.00000e+00
 155.00    2.00   42.60   52.58     0.00000e+00     0.00000e+00     0.00000e+00
 106.00    0.50   43.40   31.43     0.00000e+00     7.09952e-08     7.09952e-08
  70.00    0.00   39.00   29.58     1.61355e-07     1.61355e-07     1.61355e-07
 140.00    1.00   32.10   47.80     0.00000e+00     0.00000e+00     0.00000e+00
 181.00    1.00   33.30   68.68     1.19137e-08     1.19137e-08     1.19137e-08
 196.00    0.00   51.50   63.73     0.00000e+00     3.97281e-09     3.97281e-09
 335.00    0.00   51.30   69.60     0.00000e+00     0.00000e+00     8.32120e-09
 107.00    2.00   54.60   34.42     0.00000e+00     0.00000e+00     0.00000e+00
 160.00    0.00   45.60   36.72     1.93599e-07     1.93599e-07     1.93599e-07
 154.00    2.50   31.70   40.85     4.49839e-07     4.49839e-07     4.49839e-07
 120.00   12.00   87.40   35.08     3.49222e-07     3.49222e-07     3.49222e-07
 126.00    1.00   42.90   67.75     0.00000e+00     0.00000e+00     4.05592e-08
 189.00    0.00   40.10   64.50     0.00000e+00     0.00000e+00     0.00000e+00
 230.00    0.00   40.30   69.40     5.09219e-10     5.09219e-10     5.09219e-10
 216.00    0.00   48.10   43.40     0.00000e+00     0.00000e+00     0.00000e+00
 113.00    3.50   32.50   52.92     0.00000e+00     0.00000e+00     0.00000e+00
 100.00    0.00   30.70   59.02     0.00000e+00     0.00000e+00     0.00000e+00
  70.00    0.00   35.50   34.42     2.37487e-06     2.37487e-06     2.37487e-06
 116.00    0.00   41.70   41.33     1.78510e-06     1.78510e-06     1.78510e-06
 267.00    0.00   56.90   55.36     0.00000e+00     0.00000e+00     0.00000e+00
  88.00    0.00   33.40   35.55     4.68798e-06     4.68798e-06     4.68798e-06
  61.00    7.00   44.90   27.91     5.31711e-07     5.31711e-07     5.31711e-07
 123.00    0.00   39.00   65.35     0.00000e+00     0.00000e+00     8.81907e-08
 138.00    0.00   28.30   71.37     1.09793e-06     1.12882e-06     1.12882e-06
 155.00    1.00   20.80   69.68     4.61093e-08     1.89865e-07     1.89865e-07
 196.00    0.00   30.80   81.25     0.00000e+00     0.00000e+00     0.00000e+00
 158.00    0.00   32.70   47.38     0.00000e+00     0.00000e+00     0.00000e+00
  85.00    1.00   34.90   75.10     0.00000e+00     0.00000e+00     0.00000e+00
 180.00    0.00   33.60   71.40     0.00000e+00     0.00000e+00     0.00000e+00
  87.00    0.00   44.80   34.30     0.00000e+00     0.00000e+00     0.00000e+00
 209.00    0.00   31.80   80.83     0.00000e+00     0.00000e+00     0.00000e+00
  75.00    0.00   48.40   40.42     0.00000e+00     0.00000e+00     0.00000e+00
 168.00    0.00   36.90   87.88     0.00000e+00     0.00000e+00     0.00000e+00
 235.00    1.00   81.40   42.40     2.24162e-06     2.24162e-06     2.24162e-06
 143.00    0.50   33.90   45.23     1.10716e-06     1.10716e-06     1.10716e-06
 230.00    0.00   38.50   77.80     0.00000e+00     0.00000e+00     0.00000e+00
  83.00    1.00   38.60   43.90     0.00000e+00     0.00000e+00     0.00000e+00
 144.00    0.00   35.10   92.40     1.36899e-04     1.36899e-04     1.36899e-04
 174.00    0.00   25.50   87.25     0.00000e+00     0.00000e+00     6.97555e-09
 242.00    0.00   40.00   92.60     0.00000e+00     0.00000e+00     4.13822e-08
 160.00    0.00   29.90   74.45     0.00000e+00     0.00000e+00     0.00000e+00
 181.00    1.00   40.40   80.57     0.00000e+00     0.00000e+00     0.00000e+00
 186.00    1.00  160.60   17.63     4.05309e-07     4.05309e-07     4.05309e-07
  50.00    3.00   33.40   23.10     4.92063e-07     4.92063e-07     4.92063e-07
 125.00    0.00   38.10   69.85     0.00000e+00     0.00000e+00     0.00000e+00
 261.00    0.00   45.10   57.07     0.00000e+00     0.00000e+00     0.00000e+00
 230.00    2.00   35.10   59.37     0.00000e+00     1.39937e-08     1.39937e-08
 138.00    1.00   24.20   90.50     0.00000e+00     0.00000e+00     0.00000e+00
 110.00    1.00   53.00   35.28     0.00000e+00     0.00000e+00     0.00000e+00
 264.00    1.00   42.40   74.00     5.77563e-08     5.77563e-08     5.77563e-08
 139.00    2.00   43.10   43.32     0.00000e+00     0.00000e+00     0.00000e+00
 161.00    0.00   34.10   67.22     0.00000e+00     0.00000e+00     0.00000e+00
  78.00    1.00   33.80   44.19     0.00000e+00     0.00000e+00     0.00000e+00
 114.00    3.00   26.60   55.45     0.00000e+00     0.00000e+00     0.00000e+00
 200.00    1.50   32.50   64.52     0.00000e+00     0.00000e+00     0.00000e+00
 225.00    0.00   25.90   77.83     0.00000e+00     0.00000e+00     0.00000e+00
 231.00    0.00   24.40  112.78     0.00000e+00     0.00000e+00     3.18209e-09
 222.00    0.00   36.10   76.15     0.00000e+00     0.00000e+00     0.00000e+00
 149.00    7.00   63.40   45.66     0.00000e+00     1.31924e-08     1.47064e-08
 189.00    2.00   84.20   25.51     0.00000e+00     5.64401e-07     5.64401e-07
  94.00    0.00   34.40   40.64     0.00000e+00     7.79973e-06     1.29739e-05
 132.00    3.00   35.20   45.56     0.00000e+00     2.68917e-09     1.05041e-06
 268.00    0.00   56.10   70.95     0.00000e+00     0.00000e+00     0.00000e+00
 146.00    0.00   36.90   45.06     1.81955e-06     2.10462e-06     2.13452e-06
 123.00    2.00   46.00   45.38     0.00000e+00     9.67355e-08     9.67355e-08
 125.00    0.00   29.50   70.60     0.00000e+00     0.00000e+00     0.00000e+00
 184.00    0.00   22.50  104.68     0.00000e+00     0.00000e+00     0.00000e+00
 200.00    1.00   28.50   70.43     0.00000e+00     0.00000e+00     0.00000e+00
 166.00    1.00   57.40   31.00     0.00000e+00     0.00000e+00     0.00000e+00
 165.00    0.00   53.90   37.38     0.00000e+00     0.00000e+00     3.25379e-08
  45.00    0.00   50.20   21.05     0.00000e+00     0.00000e+00     0.00000e+00
 130.00    0.00   20.60   63.48     0.00000e+00     4.88225e-08     4.88225e-08
 242.00    0.00   55.00   70.07     0.00000e+00     0.00000e+00     0.00000e+00
 200.00    0.00   26.00   67.58     0.00000e+00     0.00000e+00     0.00000e+00
 197.00    1.00   44.20   55.25     0.00000e+00     0.00000e+00     0.00000e+00
 101.00    1.00   26.70   65.85     0.00000e+00     0.00000e+00     0.00000e+00
 170.00    1.00   53.00   85.05     2.80613e-07     2.80613e-07     2.80613e-07
 150.00    0.00   30.20   58.47     0.00000e+00     0.00000e+00     0.00000e+00
 138.00    2.00   60.80   33.40     0.00000e+00     8.08787e-07     8.28783e-07
 165.00    0.00   45.00   60.47     0.00000e+00     0.00000e+00     0.00000e+00
 117.00    1.00   77.20   52.17     0.00000e+00     0.00000e+00     0.00000e+00
 245.00    0.00   33.90   72.25     0.00000e+00     0.00000e+00     0.00000e+00
